Date,Close,Open,Low,High,Volume
07/10/2013,310.03,315.24,309.74,315.3399,"2,085,725"
08/10/2013,303.23,311.5,300.27,311.545,"3,171,592"
09/10/2013,298.23,303.42,296.5025,303.4978,"3,252,771"
10/10/2013,305.17,304.63,302.5901,306.7,"2,557,138"
11/10/2013,310.89,304.77,303.84,310.93,"2,163,093"
14/10/2013,310.70,309.22,307,311.645,"1,939,092"
15/10/2013,306.40,309.87,305.26,310.79,"2,261,554"
16/10/2013,310.49,308.38,305.554,310.8,"2,180,521"
17/10/2013,310.77,307.07,305.24,311,"2,648,384"
18/10/2013,328.93,319.36,316.75,331.89,"5,969,814"
21/10/2013,326.44,329.89,323.8,330,"2,527,617"
22/10/2013,332.54,327.72,325.68,337.11,"3,942,953"
23/10/2013,326.76,330.84,324.0601,331.72,"2,818,158"
24/10/2013,332.21,329.63,326.75,332.6499,"5,884,655"
25/10/2013,363.39,358.6,352.62,368.4,"12,043,903"
28/10/2013,358.16,359.92,357.2,362.75,"3,635,848"
29/10/2013,362.70,358.96,356.29,362.89,"2,190,763"
30/10/2013,361.08,362.62,358.65,365,"4,505,005"
31/10/2013,364.03,361.73,359,366,"2,466,937"
01/11/2013,359.00,365.63,356.1,365.77,"3,332,126"
04/11/2013,358.74,360.12,354.4,361,"1,940,496"
05/11/2013,358.89,356.78,354.84,360.17,"2,007,275"
06/11/2013,356.18,360.45,354.5,362.87,"2,288,077"
07/11/2013,343.56,355.86,341.88,357.9,"4,250,065"
08/11/2013,350.31,345.95,344.04,351.05,"2,656,865"
11/11/2013,354.38,350.59,348.06,355.37,"2,262,538"
12/11/2013,349.53,352.99,347.282,355.4826,"2,344,304"
13/11/2013,356.22,347.4,345.68,356.22,"2,777,832"
14/11/2013,367.40,357.39,356.43,368.94,"4,164,128"
15/11/2013,369.17,367.63,365.55,372.9,"4,494,773"
18/11/2013,366.18,370.28,364.67,373.49,"2,738,214"
19/11/2013,364.94,365.82,362.5,368.78,"1,904,797"
20/11/2013,362.57,367.56,360.45,367.56,"1,772,984"
21/11/2013,368.92,364.05,363.3,369.25,"1,967,041"
22/11/2013,372.31,370,366.31,374.5,"2,967,833"
25/11/2013,376.64,373.82,373.18,377.79,"2,972,546"
26/11/2013,381.37,377.61,374.8175,382.5,"2,730,689"
27/11/2013,386.71,383.5,382.611,387,"2,269,656"
29/11/2013,393.62,389.1,388.62,394.0999,"2,405,985"
02/12/2013,392.30,399,389.1,399,"4,718,883"
03/12/2013,384.66,390.11,383.1,390.949,"3,707,536"
04/12/2013,385.96,383.5,381.4914,389.69,"2,355,719"
05/12/2013,384.49,386.65,381.371,386.65,"1,906,452"
06/12/2013,386.95,388.35,383.83,388.35,"1,987,762"
09/12/2013,384.89,388.11,382.57,388.21,"2,766,573"
10/12/2013,387.78,383.74,383.02,389.06,"2,739,875"
11/12/2013,382.19,387.34,382,388.98,"2,451,254"
12/12/2013,381.25,381.26,379.5,385,"2,123,652"
13/12/2013,384.24,385.32,383.8,389.42,"3,025,145"
16/12/2013,388.97,385.03,385,391.7,"2,258,884"
17/12/2013,387.65,390.65,386.5,391.36,"2,348,377"
18/12/2013,395.96,389.23,383.1,396.3,"3,493,635"
19/12/2013,395.19,394.27,392.6,397.29,"2,429,598"
20/12/2013,402.20,396.55,395.78,404.72,"5,038,537"
23/12/2013,402.92,403.69,399.2,405,"2,661,823"
24/12/2013,399.20,402.52,396.37,403.7249,"1,380,373"
26/12/2013,404.39,401.79,396.81,404.52,"1,871,590"
27/12/2013,398.08,404.65,396.25,405.63,"1,987,280"
30/12/2013,393.37,399.41,392.45,399.92,"2,487,812"
31/12/2013,398.79,394.58,393.8,398.83,"1,997,051"
02/01/2014,397.97,398.8,394.02,399.36,"2,140,246"
03/01/2014,396.44,398.29,396.22,402.71,"2,213,512"
06/01/2014,393.63,395.85,388.42,397,"3,172,207"
07/01/2014,398.03,395.04,394.29,398.47,"1,916,684"
08/01/2014,401.92,398.47,396.04,403,"2,316,903"
09/01/2014,401.01,403.71,398.44,406.89,"2,103,793"
10/01/2014,397.66,402.53,393.8,403.764,"2,681,701"
13/01/2014,390.98,397.98,388.45,399.78,"2,846,507"
14/01/2014,397.54,392.13,391.29,398.63,"2,340,401"
15/01/2014,395.87,398.94,392.534,399.31,"2,678,794"
16/01/2014,395.80,393.68,389.41,399.29,"2,602,506"
17/01/2014,399.61,394.26,393.66,403.49,"4,508,791"
21/01/2014,407.05,403,401.6,407.8,"3,122,705"
22/01/2014,404.54,408,402,408.06,"2,069,759"
23/01/2014,399.87,401,397.79,406.17,"3,026,272"
24/01/2014,387.60,398.16,387.27,400.2,"4,513,038"
27/01/2014,386.28,390.5,380.49,394.1,"3,944,752"
28/01/2014,394.43,387.4,387.12,394.74,"2,901,611"
29/01/2014,384.20,392.16,383.24,392.85,"3,399,294"
